BK11 20190916 17:08:05
./validation_images_normal/0.png Real 17:08:11
./validation_images_normal/1.png Fake 17:08:35
./validation_images_normal/2.png Real 17:08:43
./validation_images_normal/3.png Fake 17:09:01
./validation_images_normal/4.png Real 17:09:05
./validation_images_normal/5.png Fake 17:09:28
./validation_images_normal/6.png Fake 17:09:47
./validation_images_normal/7.png Fake 17:10:20
./validation_images_normal/8.png Real 17:10:33
./validation_images_normal/9.png Real 17:10:39
./validation_images_normal/10.png Fake 17:10:45
./validation_images_normal/11.png Fake 17:10:53
./validation_images_normal/12.png Fake 17:11:02
./validation_images_normal/13.png Real 17:11:05
./validation_images_normal/14.png Real 17:11:11
./validation_images_normal/15.png Real 17:11:17
./validation_images_normal/16.png Fake 17:11:26
./validation_images_normal/17.png Real 17:11:32
./validation_images_normal/18.png Fake 17:11:42
./validation_images_normal/19.png Real 17:11:46
./validation_images_normal/20.png Real 17:11:52
./validation_images_normal/21.png Fake 17:11:58
./validation_images_normal/22.png Real 17:12:20
./validation_images_normal/23.png Fake 17:12:26
./validation_images_normal/24.png Real 17:12:32
./validation_images_normal/25.png Fake 17:12:37
./validation_images_normal/26.png Fake 17:12:40
./validation_images_normal/27.png Real 17:12:51
./validation_images_normal/28.png Real 17:12:59
./validation_images_normal/29.png Real 17:13:04
./validation_images_normal/30.png Fake 17:13:09
./validation_images_normal/31.png Real 17:13:25
./validation_images_normal/32.png Fake 17:13:31
./validation_images_normal/33.png Real 17:13:36
./validation_images_normal/34.png Real 17:13:42
./validation_images_normal/35.png Real 17:13:47
./validation_images_normal/36.png Fake 17:13:52
./validation_images_normal/37.png Real 17:14:09
./validation_images_normal/38.png Fake 17:14:16
./validation_images_normal/39.png Real 17:14:22
./validation_images_normal/40.png Real 17:14:26
./validation_images_normal/41.png Real 17:14:30
./validation_images_normal/42.png Fake 17:14:33
./validation_images_normal/43.png Real 17:14:37
./validation_images_normal/44.png Real 17:14:44
./validation_images_normal/45.png Fake 17:15:03
./validation_images_normal/46.png Fake 17:15:15
./validation_images_normal/47.png Fake 17:15:24
./validation_images_normal/48.png Real 17:15:43
./validation_images_normal/49.png Real 17:15:47
./validation_images_normal/50.png Real 17:15:53
./validation_images_normal/51.png Real 17:15:57
./validation_images_normal/52.png Fake 17:16:04
./validation_images_normal/53.png Real 17:16:15
./validation_images_normal/54.png Real 17:16:23
./validation_images_normal/55.png Real 17:16:33
./validation_images_normal/56.png Fake 17:16:37
./validation_images_normal/57.png Fake 17:17:01
./validation_images_normal/58.png Real 17:17:21
./validation_images_normal/59.png Real 17:17:28
./validation_images_normal/60.png Fake 17:17:35
./validation_images_normal/61.png Real 17:17:40
./validation_images_normal/62.png Fake 17:17:44
./validation_images_normal/63.png Fake 17:18:01
./validation_images_normal/64.png Real 17:18:13
./validation_images_normal/65.png Real 17:18:18
./validation_images_normal/66.png Fake 17:18:31
./validation_images_normal/67.png Real 17:18:50
./validation_images_normal/68.png Fake 17:19:03
./validation_images_normal/69.png Real 17:19:11
./validation_images_normal/70.png Fake 17:19:16
./validation_images_normal/71.png Fake 17:19:22
./validation_images_normal/72.png Fake 17:19:31
./validation_images_normal/73.png Fake 17:19:53
./validation_images_normal/74.png Real 17:20:00
./validation_images_normal/75.png Fake 17:20:07
./validation_images_normal/76.png Fake 17:20:22
./validation_images_normal/77.png Real 17:20:38
./validation_images_normal/78.png Fake 17:20:45
./validation_images_normal/79.png Real 17:20:49
./validation_images_normal/80.png Real 17:20:56
./validation_images_normal/81.png Fake 17:21:01
./validation_images_normal/82.png Fake 17:21:11
./validation_images_normal/83.png Fake 17:21:20
./validation_images_normal/84.png Real 17:21:31
./validation_images_normal/85.png Fake 17:21:45
./validation_images_normal/86.png Fake 17:21:53
