D19044611 20190918 12:18:14
./validation_images_normal/0.png Real 12:18:19
./validation_images_normal/1.png Real 12:18:26
./validation_images_normal/2.png Real 12:18:29
./validation_images_normal/3.png Fake 12:18:32
./validation_images_normal/4.png Real 12:18:48
./validation_images_normal/5.png Real 12:18:51
./validation_images_normal/6.png Real 12:18:55
./validation_images_normal/7.png Real 12:18:58
./validation_images_normal/8.png Real 12:19:01
./validation_images_normal/9.png Real 12:19:03
./validation_images_normal/10.png Fake 12:19:07
./validation_images_normal/11.png Fake 12:19:13
./validation_images_normal/12.png Fake 12:19:19
./validation_images_normal/13.png Fake 12:19:23
./validation_images_normal/14.png Real 12:19:32
./validation_images_normal/15.png Real 12:19:35
./validation_images_normal/16.png Fake 12:19:41
./validation_images_normal/17.png Fake 12:19:45
./validation_images_normal/18.png Fake 12:19:51
./validation_images_normal/19.png Real 12:19:54
./validation_images_normal/20.png Real 12:20:01
./validation_images_normal/21.png Fake 12:20:03
./validation_images_normal/22.png Real 12:20:09
./validation_images_normal/23.png Fake 12:20:16
./validation_images_normal/24.png Real 12:20:20
./validation_images_normal/25.png Fake 12:20:24
./validation_images_normal/26.png Fake 12:20:26
./validation_images_normal/27.png Fake 12:20:31
./validation_images_normal/28.png Real 12:20:36
./validation_images_normal/29.png Fake 12:20:42
./validation_images_normal/30.png Fake 12:20:46
./validation_images_normal/31.png Fake 12:20:52
./validation_images_normal/32.png Fake 12:20:55
./validation_images_normal/33.png Real 12:20:58
./validation_images_normal/34.png Real 12:21:03
./validation_images_normal/35.png Real 12:21:05
./validation_images_normal/36.png Real 12:21:07
./validation_images_normal/37.png Fake 12:21:14
./validation_images_normal/38.png Fake 12:21:17
./validation_images_normal/39.png Fake 12:21:19
./validation_images_normal/40.png Real 12:21:24
./validation_images_normal/41.png Real 12:21:26
./validation_images_normal/42.png Fake 12:21:28
./validation_images_normal/43.png Real 12:21:35
./validation_images_normal/44.png Fake 12:21:41
./validation_images_normal/45.png Fake 12:22:01
./validation_images_normal/46.png Fake 12:22:04
./validation_images_normal/47.png Real 12:22:07
./validation_images_normal/48.png Fake 12:22:11
./validation_images_normal/49.png Real 12:22:18
./validation_images_normal/50.png Fake 12:22:22
./validation_images_normal/51.png Real 12:22:32
./validation_images_normal/52.png Fake 12:22:37
./validation_images_normal/53.png Real 12:22:39
./validation_images_normal/54.png Real 12:22:42
./validation_images_normal/55.png Real 12:22:46
./validation_images_normal/56.png Fake 12:22:48
./validation_images_normal/57.png Real 12:23:06
./validation_images_normal/58.png Real 12:23:10
./validation_images_normal/59.png Real 12:23:12
./validation_images_normal/60.png Fake 12:23:15
./validation_images_normal/61.png Real 12:23:25
./validation_images_normal/62.png Real 12:23:29
./validation_images_normal/63.png Fake 12:23:32
./validation_images_normal/64.png Real 12:23:36
./validation_images_normal/65.png Real 12:23:39
./validation_images_normal/66.png Fake 12:23:42
./validation_images_normal/67.png Fake 12:23:51
./validation_images_normal/68.png Real 12:23:56
./validation_images_normal/69.png Fake 12:24:01
./validation_images_normal/70.png Fake 12:24:11
./validation_images_normal/71.png Real 12:24:20
./validation_images_normal/72.png Real 12:24:29
./validation_images_normal/73.png Fake 12:24:32
./validation_images_normal/74.png Real 12:24:36
./validation_images_normal/75.png Real 12:24:39
./validation_images_normal/76.png Fake 12:24:44
./validation_images_normal/77.png Fake 12:24:51
./validation_images_normal/78.png Fake 12:24:54
./validation_images_normal/79.png Fake 12:24:56
./validation_images_normal/80.png Real 12:24:59
./validation_images_normal/81.png Fake 12:25:07
./validation_images_normal/82.png Fake 12:25:10
