F2LJS01 20190916 11:56:48
./validation_images_normal/0.png Real 11:56:54
./validation_images_normal/1.png Real 11:56:59
./validation_images_normal/2.png Real 11:57:03
./validation_images_normal/3.png Fake 11:57:06
./validation_images_normal/4.png Real 11:57:10
./validation_images_normal/5.png Real 11:57:13
./validation_images_normal/6.png Real 11:57:15
./validation_images_normal/7.png Fake 11:57:18
./validation_images_normal/8.png Real 11:57:23
./validation_images_normal/9.png Real 11:57:25
./validation_images_normal/10.png Real 11:57:28
./validation_images_normal/11.png Real 11:57:31
./validation_images_normal/12.png Fake 11:57:34
./validation_images_normal/13.png Real 11:57:39
./validation_images_normal/14.png Real 11:57:42
./validation_images_normal/15.png Real 11:57:44
./validation_images_normal/16.png Fake 11:57:46
./validation_images_normal/17.png Real 11:57:49
./validation_images_normal/18.png Real 11:57:52
./validation_images_normal/19.png Real 11:57:59
./validation_images_normal/20.png Real 11:58:03
./validation_images_normal/21.png Fake 11:58:05
./validation_images_normal/22.png Real 11:58:08
./validation_images_normal/23.png Fake 11:58:10
./validation_images_normal/24.png Real 11:58:12
./validation_images_normal/25.png Fake 11:58:15
./validation_images_normal/26.png Fake 11:58:18
./validation_images_normal/27.png Fake 11:58:20
./validation_images_normal/28.png Real 11:58:22
./validation_images_normal/29.png Fake 11:58:24
./validation_images_normal/30.png Fake 11:58:26
./validation_images_normal/31.png Fake 11:58:29
./validation_images_normal/32.png Fake 11:58:31
./validation_images_normal/33.png Real 11:58:33
./validation_images_normal/34.png Real 11:58:35
./validation_images_normal/35.png Fake 11:58:37
./validation_images_normal/36.png Real 11:58:41
./validation_images_normal/37.png Fake 11:58:43
./validation_images_normal/38.png Fake 11:58:48
./validation_images_normal/39.png Fake 11:58:50
./validation_images_normal/40.png Real 11:58:56
./validation_images_normal/41.png Real 11:58:59
./validation_images_normal/42.png Fake 11:59:01
./validation_images_normal/43.png Real 11:59:09
./validation_images_normal/44.png Real 11:59:12
./validation_images_normal/45.png Fake 11:59:14
./validation_images_normal/46.png Fake 11:59:16
./validation_images_normal/47.png Real 11:59:21
./validation_images_normal/48.png Real 11:59:24
./validation_images_normal/49.png Real 11:59:26
./validation_images_normal/50.png Fake 11:59:28
./validation_images_normal/51.png Real 11:59:32
./validation_images_normal/52.png Fake 11:59:34
./validation_images_normal/53.png Real 11:59:38
./validation_images_normal/54.png Real 11:59:40
./validation_images_normal/55.png Real 11:59:43
./validation_images_normal/56.png Fake 11:59:45
./validation_images_normal/57.png Fake 11:59:48
./validation_images_normal/58.png Real 11:59:50
./validation_images_normal/59.png Real 11:59:54
./validation_images_normal/60.png Fake 11:59:57
./validation_images_normal/61.png Real 12:00:00
./validation_images_normal/62.png Fake 12:00:02
./validation_images_normal/63.png Fake 12:00:06
./validation_images_normal/64.png Real 12:00:09
./validation_images_normal/65.png Real 12:00:11
./validation_images_normal/66.png Real 12:00:13
./validation_images_normal/67.png Fake 12:00:15
./validation_images_normal/68.png Real 12:00:17
./validation_images_normal/69.png Real 12:00:19
./validation_images_normal/70.png Fake 12:00:21
./validation_images_normal/71.png Real 12:00:24
./validation_images_normal/72.png Real 12:00:26
./validation_images_normal/73.png Fake 12:00:28
./validation_images_normal/74.png Real 12:00:31
./validation_images_normal/75.png Real 12:00:33
./validation_images_normal/76.png Fake 12:00:36
./validation_images_normal/77.png Fake 12:00:39
./validation_images_normal/78.png Fake 12:00:41
./validation_images_normal/79.png Real 12:00:43
./validation_images_normal/80.png Real 12:00:46
./validation_images_normal/81.png Fake 12:00:49
./validation_images_normal/82.png Fake 12:00:51
./validation_images_normal/83.png Fake 12:00:53
./validation_images_normal/84.png Real 12:00:55
./validation_images_normal/85.png Fake 12:00:57
./validation_images_normal/86.png Fake 12:00:59
./validation_images_normal/87.png Real 12:01:02
./validation_images_normal/88.png Real 12:01:04
./validation_images_normal/89.png Real 12:01:07
./validation_images_normal/90.png Real 12:01:09
./validation_images_normal/91.png Fake 12:01:11
./validation_images_normal/92.png Fake 12:01:13
./validation_images_normal/93.png Real 12:01:15
./validation_images_normal/94.png Real 12:01:19
./validation_images_normal/95.png Real 12:01:20
./validation_images_normal/96.png Real 12:01:23
./validation_images_normal/97.png Real 12:01:24
./validation_images_normal/98.png Real 12:01:27
./validation_images_normal/99.png Fake 12:01:29
./validation_images_normal/100.png Fake 12:01:33
./validation_images_normal/101.png Fake 12:01:35
./validation_images_normal/102.png Real 12:01:37
./validation_images_normal/103.png Real 12:01:39
./validation_images_normal/104.png Real 12:01:40
./validation_images_normal/105.png Real 12:01:43
./validation_images_normal/106.png Fake 12:01:45
./validation_images_normal/107.png Fake 12:01:47
./validation_images_normal/108.png Fake 12:01:50
./validation_images_normal/109.png Real 12:01:52
./validation_images_normal/110.png Real 12:01:54
./validation_images_normal/111.png Real 12:01:57
./validation_images_normal/112.png Fake 12:01:59
./validation_images_normal/113.png Fake 12:02:03
./validation_images_normal/114.png Real 12:02:05
./validation_images_normal/115.png Real 12:02:07
./validation_images_normal/116.png Real 12:02:09
./validation_images_normal/117.png Real 12:02:11
./validation_images_normal/118.png Real 12:02:13
./validation_images_normal/119.png Real 12:02:17
./validation_images_normal/120.png Fake 12:02:20
./validation_images_normal/121.png Real 12:02:25
./validation_images_normal/122.png Fake 12:02:27
./validation_images_normal/123.png Real 12:02:31
./validation_images_normal/124.png Fake 12:02:33
./validation_images_normal/125.png Real 12:02:37
./validation_images_normal/126.png Fake 12:02:39
./validation_images_normal/127.png Fake 12:02:41
./validation_images_normal/128.png Real 12:02:43
./validation_images_normal/129.png Fake 12:02:45
./validation_images_normal/130.png Real 12:02:48
./validation_images_normal/131.png Fake 12:02:50
./validation_images_normal/132.png Fake 12:02:52
./validation_images_normal/133.png Fake 12:02:55
./validation_images_normal/134.png Real 12:02:57
./validation_images_normal/135.png Real 12:02:59
./validation_images_normal/136.png Real 12:03:01
./validation_images_normal/137.png Fake 12:03:03
./validation_images_normal/138.png Fake 12:03:05
./validation_images_normal/139.png Fake 12:03:08
./validation_images_normal/140.png Fake 12:03:10
./validation_images_normal/141.png Fake 12:03:13
./validation_images_normal/142.png Fake 12:03:16
./validation_images_normal/143.png Real 12:03:18
./validation_images_normal/144.png Real 12:03:20
./validation_images_normal/145.png Real 12:03:24
./validation_images_normal/146.png Fake 12:03:27
./validation_images_normal/147.png Real 12:03:29
./validation_images_normal/148.png Real 12:03:31
./validation_images_normal/149.png Fake 12:03:33
./validation_images_normal/150.png Real 12:03:36
./validation_images_normal/151.png Real 12:03:38
./validation_images_normal/152.png Fake 12:03:39
./validation_images_normal/153.png Fake 12:03:41
./validation_images_normal/154.png Fake 12:03:43
./validation_images_normal/155.png Real 12:03:46
./validation_images_normal/156.png Fake 12:03:48
./validation_images_normal/157.png Fake 12:03:51
./validation_images_normal/158.png Real 12:03:53
./validation_images_normal/159.png Real 12:03:55
./validation_images_normal/160.png Real 12:03:57
./validation_images_normal/161.png Real 12:03:59
./validation_images_normal/162.png Fake 12:04:00
./validation_images_normal/163.png Real 12:04:02
./validation_images_normal/164.png Real 12:04:05
./validation_images_normal/165.png Fake 12:04:10
./validation_images_normal/166.png Fake 12:04:12
./validation_images_normal/167.png Real 12:04:15
./validation_images_normal/168.png Fake 12:04:17
./validation_images_normal/169.png Fake 12:04:19
./validation_images_normal/170.png Real 12:04:21
./validation_images_normal/171.png Real 12:04:24
./validation_images_normal/172.png Fake 12:04:29
./validation_images_normal/173.png Fake 12:04:31
./validation_images_normal/174.png Real 12:04:33
./validation_images_normal/175.png Real 12:04:35
./validation_images_normal/176.png Fake 12:04:37
