GIGI123411 20190917 10:31:04
./validation_images_normal/0.png Real 10:31:09
./validation_images_normal/1.png Fake 10:31:20
./validation_images_normal/2.png Real 10:31:26
./validation_images_normal/3.png Fake 10:31:31
./validation_images_normal/4.png Real 10:31:36
./validation_images_normal/5.png Real 10:31:42
./validation_images_normal/6.png Fake 10:31:46
./validation_images_normal/7.png Fake 10:31:50
./validation_images_normal/8.png Real 10:31:53
./validation_images_normal/9.png Fake 10:31:59
./validation_images_normal/10.png Real 10:32:07
./validation_images_normal/11.png Fake 10:32:14
./validation_images_normal/12.png Fake 10:32:17
./validation_images_normal/13.png Real 10:32:21
./validation_images_normal/14.png Real 10:32:28
./validation_images_normal/15.png Real 10:32:32
./validation_images_normal/16.png Fake 10:32:36
./validation_images_normal/17.png Real 10:32:40
./validation_images_normal/18.png Fake 10:32:44
./validation_images_normal/19.png Real 10:32:47
./validation_images_normal/20.png Real 10:32:52
./validation_images_normal/21.png Fake 10:32:58
./validation_images_normal/22.png Real 10:33:04
./validation_images_normal/23.png Fake 10:33:07
./validation_images_normal/24.png Real 10:33:13
./validation_images_normal/25.png Fake 10:33:18
./validation_images_normal/26.png Fake 10:33:21
./validation_images_normal/27.png Fake 10:33:25
./validation_images_normal/28.png Real 10:33:28
./validation_images_normal/29.png Fake 10:33:32
./validation_images_normal/30.png Fake 10:33:36
./validation_images_normal/31.png Fake 10:33:39
./validation_images_normal/32.png Fake 10:33:42
./validation_images_normal/33.png Real 10:33:45
./validation_images_normal/34.png Real 10:33:48
./validation_images_normal/35.png Real 10:33:51
./validation_images_normal/36.png Real 10:33:56
./validation_images_normal/37.png Fake 10:33:59
./validation_images_normal/38.png Fake 10:34:02
./validation_images_normal/39.png Fake 10:34:05
./validation_images_normal/40.png Real 10:34:09
./validation_images_normal/41.png Real 10:34:12
./validation_images_normal/42.png Real 10:34:16
./validation_images_normal/43.png Real 10:34:24
./validation_images_normal/44.png Fake 10:34:28
./validation_images_normal/45.png Fake 10:34:34
./validation_images_normal/46.png Fake 10:34:38
./validation_images_normal/47.png Real 10:34:44
./validation_images_normal/48.png Fake 10:34:51
./validation_images_normal/49.png Real 10:34:55
./validation_images_normal/50.png Fake 10:34:59
./validation_images_normal/51.png Fake 10:35:10
./validation_images_normal/52.png Fake 10:35:19
./validation_images_normal/53.png Real 10:35:24
./validation_images_normal/54.png Real 10:35:27
./validation_images_normal/55.png Real 10:35:30
./validation_images_normal/56.png Fake 10:35:33
./validation_images_normal/57.png Real 10:35:36
./validation_images_normal/58.png Real 10:35:43
./validation_images_normal/59.png Real 10:35:48
./validation_images_normal/60.png Fake 10:35:54
./validation_images_normal/61.png Real 10:35:58
./validation_images_normal/62.png Real 10:36:02
./validation_images_normal/63.png Fake 10:36:05
./validation_images_normal/64.png Real 10:36:12
./validation_images_normal/65.png Real 10:36:15
./validation_images_normal/66.png Real 10:36:18
./validation_images_normal/67.png Fake 10:36:23
./validation_images_normal/68.png Fake 10:36:26
./validation_images_normal/69.png Real 10:36:30
./validation_images_normal/70.png Real 10:36:34
./validation_images_normal/71.png Real 10:36:38
./validation_images_normal/72.png Real 10:36:42
./validation_images_normal/73.png Fake 10:36:44
./validation_images_normal/74.png Real 10:36:48
./validation_images_normal/75.png Real 10:36:50
./validation_images_normal/76.png Real 10:36:53
./validation_images_normal/77.png Fake 10:36:56
./validation_images_normal/78.png Fake 10:36:59
./validation_images_normal/79.png Real 10:37:02
./validation_images_normal/80.png Real 10:37:06
./validation_images_normal/81.png Fake 10:37:09
./validation_images_normal/82.png Fake 10:37:12
./validation_images_normal/83.png Real 10:37:17
./validation_images_normal/84.png Real 10:37:20
./validation_images_normal/85.png Real 10:37:23
./validation_images_normal/86.png Fake 10:37:28
./validation_images_normal/87.png Real 10:37:31
./validation_images_normal/88.png Real 10:37:34
./validation_images_normal/89.png Real 10:37:38
./validation_images_normal/90.png Real 10:38:26
./validation_images_normal/91.png Fake 10:38:31
./validation_images_normal/92.png Fake 10:38:36
./validation_images_normal/93.png Real 10:38:40
./validation_images_normal/94.png Real 10:38:44
./validation_images_normal/95.png Real 10:38:48
./validation_images_normal/96.png Real 10:38:52
./validation_images_normal/97.png Real 10:38:55
./validation_images_normal/98.png Real 10:38:59
./validation_images_normal/99.png Fake 10:39:03
./validation_images_normal/100.png Real 10:39:07
./validation_images_normal/101.png Fake 10:39:14
./validation_images_normal/102.png Real 10:39:19
./validation_images_normal/103.png Real 10:39:22
./validation_images_normal/104.png Real 10:39:25
./validation_images_normal/105.png Real 10:39:28
./validation_images_normal/106.png Fake 10:39:31
./validation_images_normal/107.png Real 10:39:38
./validation_images_normal/108.png Fake 10:39:42
Finish 10:39:46
