Jaedapa13 20190916 21:04:29
./validation_images_normal/0.png Real 21:04:35
./validation_images_normal/1.png Real 21:05:17
./validation_images_normal/2.png Real 21:05:37
./validation_images_normal/3.png Fake 21:05:43
./validation_images_normal/4.png Real 21:06:00
./validation_images_normal/5.png Real 21:06:06
./validation_images_normal/6.png Fake 21:06:25
./validation_images_normal/7.png Fake 21:06:47
./validation_images_normal/8.png Real 21:06:53
./validation_images_normal/9.png Fake 21:06:59
./validation_images_normal/10.png Real 21:07:18
./validation_images_normal/11.png Fake 21:07:22
./validation_images_normal/12.png Real 21:07:31
./validation_images_normal/13.png Real 21:07:36
./validation_images_normal/14.png Fake 21:07:40
./validation_images_normal/15.png Real 21:08:03
./validation_images_normal/16.png Fake 21:08:08
./validation_images_normal/17.png Real 21:08:15
./validation_images_normal/18.png Real 21:08:21
./validation_images_normal/19.png Fake 21:08:32
./validation_images_normal/20.png Real 21:08:52
./validation_images_normal/21.png Fake 21:08:56
./validation_images_normal/22.png Real 21:09:00
./validation_images_normal/23.png Fake 21:09:05
./validation_images_normal/24.png Real 21:09:12
./validation_images_normal/25.png Fake 21:09:19
./validation_images_normal/26.png Fake 21:09:29
./validation_images_normal/27.png Fake 21:09:38
./validation_images_normal/28.png Fake 21:09:43
./validation_images_normal/29.png Fake 21:09:49
./validation_images_normal/30.png Real 21:09:55
./validation_images_normal/31.png Fake 21:09:59
./validation_images_normal/32.png Real 21:10:14
./validation_images_normal/33.png Real 21:10:18
./validation_images_normal/34.png Fake 21:10:21
./validation_images_normal/35.png Real 21:10:24
./validation_images_normal/36.png Real 21:10:28
./validation_images_normal/37.png Real 21:10:31
./validation_images_normal/38.png Real 21:10:39
./validation_images_normal/39.png Fake 21:10:53
./validation_images_normal/40.png Real 21:11:01
./validation_images_normal/41.png Real 21:11:14
./validation_images_normal/42.png Fake 21:11:18
./validation_images_normal/43.png Real 21:11:25
./validation_images_normal/44.png Fake 21:11:29
./validation_images_normal/45.png Fake 21:11:34
./validation_images_normal/46.png Real 21:11:44
./validation_images_normal/47.png Fake 21:11:47
./validation_images_normal/48.png Fake 21:11:54
./validation_images_normal/49.png Real 21:11:58
./validation_images_normal/50.png Fake 21:12:01
./validation_images_normal/51.png Real 21:12:13
./validation_images_normal/52.png Real 21:12:18
./validation_images_normal/53.png Fake 21:12:22
./validation_images_normal/54.png Real 21:12:33
./validation_images_normal/55.png Real 21:12:37
./validation_images_normal/56.png Fake 21:12:40
./validation_images_normal/57.png Fake 21:12:44
./validation_images_normal/58.png Fake 21:12:56
./validation_images_normal/59.png Fake 21:13:02
./validation_images_normal/60.png Real 21:13:09
./validation_images_normal/62.png Fake 21:13:23
./validation_images_normal/63.png Fake 21:13:36
./validation_images_normal/64.png Real 21:13:47
./validation_images_normal/65.png Real 21:13:52
./validation_images_normal/66.png Fake 21:13:56
./validation_images_normal/67.png Real 21:14:13
./validation_images_normal/68.png Real 21:14:24
./validation_images_normal/69.png Real 21:14:32
./validation_images_normal/70.png Fake 21:14:49
./validation_images_normal/71.png Fake 21:14:56
./validation_images_normal/72.png Fake 21:15:24
./validation_images_normal/73.png Real 21:15:38
./validation_images_normal/74.png Real 21:15:49
./validation_images_normal/75.png Fake 21:15:54
./validation_images_normal/76.png Fake 21:16:01
./validation_images_normal/77.png Fake 21:16:15
./validation_images_normal/78.png Real 21:16:24
./validation_images_normal/79.png Real 21:16:27
./validation_images_normal/80.png Fake 21:16:31
./validation_images_normal/81.png Real 21:16:39
./validation_images_normal/82.png Fake 21:16:43
./validation_images_normal/83.png Fake 21:16:47
./validation_images_normal/84.png Real 21:16:50
./validation_images_normal/85.png Real 21:16:53
./validation_images_normal/86.png Fake 21:17:06
./validation_images_normal/87.png Fake 21:17:09
./validation_images_normal/88.png Fake 21:17:12
./validation_images_normal/90.png Fake 21:17:26
