LGI11 20190919 21:38:50
./validation_images_normal/0.png Real 21:38:55
./validation_images_normal/1.png Fake 21:39:18
./validation_images_normal/2.png Real 21:39:23
./validation_images_normal/3.png Fake 21:39:30
./validation_images_normal/4.png Real 21:39:36
./validation_images_normal/5.png Real 21:39:43
./validation_images_normal/6.png Fake 21:39:49
./validation_images_normal/7.png Fake 21:40:02
./validation_images_normal/8.png Real 21:40:09
./validation_images_normal/9.png Fake 21:40:13
./validation_images_normal/10.png Real 21:40:18
./validation_images_normal/11.png Fake 21:40:22
./validation_images_normal/12.png Fake 21:40:25
./validation_images_normal/13.png Fake 21:40:29
./validation_images_normal/14.png Fake 21:40:33
./validation_images_normal/15.png Real 21:40:37
./validation_images_normal/16.png Fake 21:40:43
./validation_images_normal/17.png Fake 21:40:46
./validation_images_normal/18.png Fake 21:40:58
./validation_images_normal/19.png Real 21:41:01
./validation_images_normal/20.png Real 21:41:06
./validation_images_normal/21.png Fake 21:41:19
./validation_images_normal/22.png Real 21:41:22
./validation_images_normal/23.png Fake 21:41:26
./validation_images_normal/24.png Real 21:41:29
./validation_images_normal/25.png Fake 21:41:32
./validation_images_normal/26.png Fake 21:41:35
./validation_images_normal/27.png Fake 21:41:49
./validation_images_normal/28.png Fake 21:41:52
./validation_images_normal/29.png Fake 21:41:55
./validation_images_normal/30.png Fake 21:41:58
./validation_images_normal/31.png Fake 21:42:01
./validation_images_normal/32.png Fake 21:42:03
./validation_images_normal/33.png Fake 21:42:06
./validation_images_normal/34.png Real 21:42:09
./validation_images_normal/35.png Fake 21:42:13
./validation_images_normal/36.png Real 21:42:16
./validation_images_normal/37.png Fake 21:42:19
./validation_images_normal/38.png Fake 21:42:22
./validation_images_normal/39.png Fake 21:42:25
./validation_images_normal/40.png Real 21:42:32
./validation_images_normal/41.png Real 21:42:43
./validation_images_normal/42.png Fake 21:42:51
./validation_images_normal/43.png Real 21:42:55
./validation_images_normal/44.png Fake 21:43:02
./validation_images_normal/45.png Fake 21:43:07
./validation_images_normal/46.png Fake 21:43:11
./validation_images_normal/47.png Real 21:43:14
./validation_images_normal/48.png Fake 21:43:17
./validation_images_normal/49.png Real 21:43:23
./validation_images_normal/50.png Fake 21:43:26
./validation_images_normal/51.png Real 21:43:29
./validation_images_normal/52.png Fake 21:43:35
./validation_images_normal/53.png Real 21:43:37
./validation_images_normal/54.png Real 21:43:49
./validation_images_normal/55.png Real 21:44:05
./validation_images_normal/56.png Fake 21:44:10
./validation_images_normal/57.png Fake 21:44:13
./validation_images_normal/58.png Real 21:44:17
./validation_images_normal/59.png Real 21:44:19
./validation_images_normal/60.png Fake 21:44:22
./validation_images_normal/61.png Real 21:44:27
./validation_images_normal/62.png Fake 21:44:30
./validation_images_normal/63.png Fake 21:44:43
./validation_images_normal/64.png Real 21:44:46
./validation_images_normal/65.png Real 21:44:49
./validation_images_normal/66.png Fake 21:44:59
./validation_images_normal/67.png Fake 21:45:03
./validation_images_normal/68.png Fake 21:45:05
./validation_images_normal/69.png Fake 21:45:08
./validation_images_normal/70.png Fake 21:45:11
./validation_images_normal/71.png Fake 21:45:17
./validation_images_normal/72.png Real 21:45:20
./validation_images_normal/73.png Fake 21:45:23
./validation_images_normal/74.png Real 21:45:27
./validation_images_normal/75.png Fake 21:45:30
./validation_images_normal/76.png Fake 21:45:32
./validation_images_normal/77.png Fake 21:45:34
./validation_images_normal/78.png Fake 21:45:37
./validation_images_normal/79.png Fake 21:45:39
./validation_images_normal/80.png Real 21:45:41
./validation_images_normal/81.png Fake 21:45:45
./validation_images_normal/82.png Fake 21:45:47
./validation_images_normal/83.png Fake 21:45:49
./validation_images_normal/84.png Real 21:45:51
./validation_images_normal/85.png Fake 21:45:54
./validation_images_normal/86.png Fake 21:45:56
./validation_images_normal/87.png Fake 21:45:58
./validation_images_normal/88.png Real 21:46:00
./validation_images_normal/89.png Real 21:46:04
./validation_images_normal/90.png Real 21:46:13
./validation_images_normal/91.png Fake 21:46:18
./validation_images_normal/92.png Fake 21:46:20
./validation_images_normal/93.png Fake 21:46:23
./validation_images_normal/94.png Real 21:46:32
./validation_images_normal/95.png Fake 21:46:36
./validation_images_normal/96.png Real 21:46:42
./validation_images_normal/97.png Real 21:46:45
./validation_images_normal/98.png Real 21:46:56
./validation_images_normal/99.png Fake 21:47:01
./validation_images_normal/100.png Fake 21:47:04
./validation_images_normal/101.png Fake 21:47:10
./validation_images_normal/102.png Real 21:47:13
./validation_images_normal/103.png Fake 21:47:16
./validation_images_normal/104.png Real 21:47:59
./validation_images_normal/105.png Fake 21:48:27
./validation_images_normal/106.png Fake 21:48:31
./validation_images_normal/107.png Fake 21:48:34
./validation_images_normal/108.png Fake 21:48:38
./validation_images_normal/109.png Real 21:48:41
./validation_images_normal/110.png Real 21:48:45
./validation_images_normal/111.png Real 21:48:48
./validation_images_normal/112.png Fake 21:48:53
./validation_images_normal/113.png Fake 21:48:57
./validation_images_normal/114.png Real 21:48:59
./validation_images_normal/115.png Fake 21:49:02
./validation_images_normal/116.png Fake 21:49:10
./validation_images_normal/117.png Fake 21:49:15
./validation_images_normal/118.png Fake 21:49:18
./validation_images_normal/119.png Real 21:49:23
./validation_images_normal/120.png Fake 21:49:32
./validation_images_normal/121.png Fake 21:49:35
./validation_images_normal/122.png Fake 21:49:41
./validation_images_normal/123.png Fake 21:49:45
./validation_images_normal/124.png Fake 21:49:58
./validation_images_normal/125.png Real 21:50:01
./validation_images_normal/126.png Fake 21:50:04
./validation_images_normal/127.png Fake 21:50:07
./validation_images_normal/128.png Real 21:50:09
./validation_images_normal/129.png Fake 21:50:12
./validation_images_normal/130.png Fake 21:50:17
./validation_images_normal/131.png Real 21:50:20
./validation_images_normal/132.png Fake 21:50:30
./validation_images_normal/133.png Fake 21:50:34
./validation_images_normal/134.png Real 21:50:41
./validation_images_normal/135.png Fake 21:50:48
./validation_images_normal/136.png Real 21:50:54
./validation_images_normal/137.png Fake 21:50:59
./validation_images_normal/138.png Fake 21:51:03
./validation_images_normal/139.png Fake 21:51:11
./validation_images_normal/140.png Fake 21:51:15
./validation_images_normal/141.png Fake 21:51:18
./validation_images_normal/142.png Fake 21:51:21
./validation_images_normal/143.png Real 21:51:24
./validation_images_normal/144.png Real 21:51:28
./validation_images_normal/145.png Real 21:51:31
./validation_images_normal/146.png Fake 21:51:36
./validation_images_normal/147.png Real 21:51:39
./validation_images_normal/148.png Real 21:51:42
./validation_images_normal/149.png Fake 21:51:45
./validation_images_normal/150.png Fake 21:51:49
./validation_images_normal/151.png Real 21:51:58
./validation_images_normal/152.png Fake 21:52:01
./validation_images_normal/153.png Fake 21:52:05
./validation_images_normal/154.png Fake 21:52:08
./validation_images_normal/155.png Real 21:52:11
./validation_images_normal/156.png Real 21:52:15
./validation_images_normal/157.png Fake 21:52:19
./validation_images_normal/158.png Real 21:52:22
./validation_images_normal/159.png Real 21:52:28
./validation_images_normal/160.png Real 21:52:31
./validation_images_normal/161.png Fake 21:52:36
./validation_images_normal/162.png Fake 21:52:41
./validation_images_normal/163.png Real 21:52:44
./validation_images_normal/164.png Real 21:52:47
./validation_images_normal/165.png Fake 21:52:50
./validation_images_normal/166.png Fake 21:52:53
./validation_images_normal/167.png Real 21:52:57
./validation_images_normal/168.png Real 21:53:00
./validation_images_normal/169.png Fake 21:53:07
./validation_images_normal/170.png Fake 21:53:11
./validation_images_normal/171.png Fake 21:53:15
./validation_images_normal/172.png Fake 21:53:17
./validation_images_normal/173.png Fake 21:53:21
./validation_images_normal/174.png Real 21:53:24
./validation_images_normal/175.png Real 21:53:27
./validation_images_normal/176.png Fake 21:53:32
./validation_images_normal/177.png Fake 21:53:34
./validation_images_normal/178.png Fake 21:53:37
./validation_images_normal/179.png Fake 21:53:39
./validation_images_normal/180.png Fake 21:53:41
./validation_images_normal/181.png Fake 21:53:43
./validation_images_normal/182.png Real 21:53:46
./validation_images_normal/183.png Fake 21:53:48
./validation_images_normal/184.png Real 21:53:51
./validation_images_normal/185.png Fake 21:53:53
./validation_images_normal/186.png Fake 21:53:58
./validation_images_normal/187.png Fake 21:54:03
./validation_images_normal/188.png Real 21:54:05
./validation_images_normal/189.png Fake 21:54:08
./validation_images_normal/190.png Fake 21:54:13
./validation_images_normal/191.png Fake 21:54:50
./validation_images_normal/192.png Real 21:54:56
./validation_images_normal/193.png Real 21:55:00
./validation_images_normal/194.png Fake 21:55:03
./validation_images_normal/195.png Real 21:55:07
./validation_images_normal/196.png Fake 21:55:09
./validation_images_normal/197.png Fake 21:55:12
./validation_images_normal/198.png Fake 21:55:59
./validation_images_normal/199.png Real 21:56:02
./validation_images_normal/200.png Real 21:56:08
./validation_images_normal/201.png Fake 21:56:51
./validation_images_normal/202.png Real 21:56:54
./validation_images_normal/203.png Fake 21:56:59
./validation_images_normal/204.png Fake 21:57:09
./validation_images_normal/205.png Fake 21:57:20
./validation_images_normal/206.png Real 21:57:26
./validation_images_normal/207.png Real 21:57:46
./validation_images_normal/208.png Fake 21:57:53
./validation_images_normal/209.png Fake 21:57:57
./validation_images_normal/210.png Fake 21:58:00
