OO01 20190917 22:43:13
./validation_images_normal/0.png Fake 22:43:19
./validation_images_normal/1.png Fake 22:43:29
./validation_images_normal/2.png Real 22:43:40
./validation_images_normal/3.png Fake 22:43:46
./validation_images_normal/4.png Real 22:43:55
./validation_images_normal/5.png Real 22:44:03
./validation_images_normal/6.png Fake 22:44:08
./validation_images_normal/7.png Real 22:44:17
./validation_images_normal/8.png Real 22:44:25
./validation_images_normal/9.png Real 22:44:33
./validation_images_normal/10.png Real 22:44:45
./validation_images_normal/11.png Fake 22:44:54
./validation_images_normal/12.png Fake 22:45:00
Finish 22:45:08
