aaa11 20190916 18:56:48
./validation_images_normal/0.png Real 18:56:53
./validation_images_normal/1.png Fake 18:57:01
./validation_images_normal/2.png Real 18:57:05
./validation_images_normal/3.png Fake 18:57:09
./validation_images_normal/4.png Real 18:57:13
./validation_images_normal/5.png Real 18:57:17
./validation_images_normal/6.png Fake 18:57:23
./validation_images_normal/7.png Fake 18:57:29
./validation_images_normal/8.png Real 18:57:37
./validation_images_normal/9.png Fake 18:57:42
./validation_images_normal/10.png Fake 18:57:48
./validation_images_normal/11.png Fake 18:57:55
./validation_images_normal/12.png Fake 18:58:00
./validation_images_normal/13.png Fake 18:58:05
./validation_images_normal/14.png Real 18:58:11
./validation_images_normal/15.png Real 18:58:15
./validation_images_normal/16.png Fake 18:58:20
./validation_images_normal/17.png Real 18:58:25
./validation_images_normal/18.png Fake 18:58:29
./validation_images_normal/19.png Real 18:58:36
./validation_images_normal/20.png Real 18:58:42
./validation_images_normal/21.png Fake 18:58:47
./validation_images_normal/22.png Real 18:58:53
./validation_images_normal/23.png Fake 18:58:57
./validation_images_normal/24.png Real 18:59:01
./validation_images_normal/25.png Fake 18:59:06
./validation_images_normal/26.png Fake 18:59:10
./validation_images_normal/27.png Fake 18:59:19
./validation_images_normal/28.png Real 18:59:25
./validation_images_normal/29.png Fake 18:59:29
./validation_images_normal/30.png Fake 18:59:33
./validation_images_normal/31.png Fake 18:59:41
./validation_images_normal/32.png Fake 18:59:46
./validation_images_normal/33.png Real 18:59:50
./validation_images_normal/34.png Real 18:59:57
./validation_images_normal/35.png Real 19:00:00
./validation_images_normal/36.png Real 19:00:04
./validation_images_normal/37.png Fake 19:00:08
./validation_images_normal/38.png Fake 19:00:18
./validation_images_normal/39.png Real 19:00:24
./validation_images_normal/40.png Real 19:00:28
./validation_images_normal/41.png Real 19:00:32
./validation_images_normal/42.png Fake 19:00:36
./validation_images_normal/43.png Real 19:00:44
./validation_images_normal/44.png Real 19:00:48
./validation_images_normal/45.png Fake 19:00:52
./validation_images_normal/46.png Fake 19:00:56
./validation_images_normal/47.png Real 19:01:03
./validation_images_normal/48.png Real 19:01:07
./validation_images_normal/49.png Real 19:01:11
./validation_images_normal/50.png Fake 19:01:14
./validation_images_normal/51.png Fake 19:01:20
./validation_images_normal/52.png Fake 19:01:25
./validation_images_normal/53.png Real 19:01:30
./validation_images_normal/54.png Real 19:01:34
./validation_images_normal/55.png Real 19:01:39
./validation_images_normal/56.png Fake 19:01:42
./validation_images_normal/57.png Fake 19:01:48
./validation_images_normal/58.png Real 19:01:55
./validation_images_normal/59.png Real 19:02:02
./validation_images_normal/60.png Fake 19:02:06
./validation_images_normal/61.png Real 19:02:10
./validation_images_normal/62.png Real 19:02:14
./validation_images_normal/63.png Fake 19:02:18
./validation_images_normal/64.png Real 19:02:24
./validation_images_normal/65.png Real 19:02:29
./validation_images_normal/66.png Real 19:02:32
./validation_images_normal/67.png Fake 19:02:36
./validation_images_normal/68.png Real 19:02:40
./validation_images_normal/69.png Real 19:02:43
