asdf11 20190924 18:15:22
./validation_images_normal/0.png Real 18:15:28
./validation_images_normal/1.png Fake 18:16:17
./validation_images_normal/2.png Real 18:16:22
./validation_images_normal/3.png Fake 18:16:25
./validation_images_normal/4.png Real 18:16:27
./validation_images_normal/5.png Real 18:17:25
./validation_images_normal/6.png Fake 18:17:30
./validation_images_normal/7.png Fake 18:17:32
./validation_images_normal/8.png Real 18:17:37
./validation_images_normal/9.png Fake 18:17:41
./validation_images_normal/10.png Fake 18:17:44
./validation_images_normal/11.png Fake 18:17:46
./validation_images_normal/12.png Fake 18:17:48
./validation_images_normal/13.png Real 18:17:51
./validation_images_normal/14.png Real 18:17:54
./validation_images_normal/15.png Real 18:17:56
./validation_images_normal/16.png Fake 18:17:59
./validation_images_normal/17.png Real 18:18:03
./validation_images_normal/18.png Fake 18:18:06
./validation_images_normal/19.png Real 18:18:11
./validation_images_normal/20.png Real 18:18:14
./validation_images_normal/21.png Fake 18:18:16
./validation_images_normal/22.png Real 18:18:19
./validation_images_normal/23.png Fake 18:18:23
./validation_images_normal/24.png Real 18:18:26
./validation_images_normal/25.png Fake 18:18:34
./validation_images_normal/26.png Fake 18:18:39
./validation_images_normal/27.png Fake 18:18:43
./validation_images_normal/28.png Fake 18:18:45
./validation_images_normal/29.png Fake 18:18:49
./validation_images_normal/30.png Fake 18:18:51
./validation_images_normal/31.png Fake 18:18:53
./validation_images_normal/32.png Fake 18:18:56
./validation_images_normal/33.png Real 18:18:58
./validation_images_normal/34.png Real 18:19:00
./validation_images_normal/35.png Fake 18:19:02
./validation_images_normal/36.png Real 18:19:11
./validation_images_normal/37.png Real 18:19:15
./validation_images_normal/38.png Fake 18:19:21
./validation_images_normal/39.png Fake 18:19:26
./validation_images_normal/40.png Real 18:19:29
./validation_images_normal/41.png Fake 18:19:32
./validation_images_normal/42.png Fake 18:19:35
./validation_images_normal/43.png Real 18:19:39
./validation_images_normal/44.png Fake 18:19:42
./validation_images_normal/45.png Fake 18:19:45
./validation_images_normal/46.png Fake 18:19:48
./validation_images_normal/47.png Real 18:19:51
./validation_images_normal/48.png Real 18:19:54
./validation_images_normal/49.png Real 18:19:57
./validation_images_normal/50.png Fake 18:20:00
./validation_images_normal/51.png Fake 18:20:03
./validation_images_normal/52.png Fake 18:20:11
./validation_images_normal/53.png Real 18:20:14
./validation_images_normal/54.png Real 18:20:17
./validation_images_normal/55.png Real 18:20:20
./validation_images_normal/56.png Fake 18:20:23
./validation_images_normal/57.png Fake 18:20:27
./validation_images_normal/58.png Real 18:20:30
./validation_images_normal/59.png Real 18:20:34
./validation_images_normal/60.png Fake 18:20:40
./validation_images_normal/61.png Fake 18:20:43
./validation_images_normal/62.png Fake 18:20:46
./validation_images_normal/63.png Fake 18:20:49
./validation_images_normal/64.png Real 18:20:52
./validation_images_normal/65.png Real 18:20:55
./validation_images_normal/66.png Fake 18:20:57
./validation_images_normal/67.png Fake 18:21:00
./validation_images_normal/68.png Fake 18:21:04
./validation_images_normal/69.png Fake 18:21:07
./validation_images_normal/70.png Fake 18:21:09
./validation_images_normal/71.png Real 18:21:12
./validation_images_normal/72.png Real 18:21:15
./validation_images_normal/73.png Fake 18:21:17
./validation_images_normal/74.png Real 18:21:19
./validation_images_normal/75.png Fake 18:21:21
./validation_images_normal/76.png Fake 18:21:28
./validation_images_normal/77.png Fake 18:21:30
./validation_images_normal/78.png Fake 18:21:33
./validation_images_normal/79.png Fake 18:21:35
./validation_images_normal/80.png Real 18:21:38
./validation_images_normal/81.png Fake 18:21:40
./validation_images_normal/82.png Fake 18:21:42
./validation_images_normal/83.png Fake 18:21:47
./validation_images_normal/84.png Real 18:21:49
./validation_images_normal/85.png Fake 18:21:52
./validation_images_normal/86.png Fake 18:21:55
./validation_images_normal/87.png Real 18:21:59
./validation_images_normal/88.png Real 18:22:04
./validation_images_normal/89.png Real 18:22:06
./validation_images_normal/90.png Real 18:22:09
./validation_images_normal/91.png Fake 18:22:12
./validation_images_normal/92.png Fake 18:22:15
./validation_images_normal/93.png Real 18:22:18
./validation_images_normal/94.png Real 18:22:22
./validation_images_normal/95.png Real 18:22:25
./validation_images_normal/96.png Real 18:22:28
./validation_images_normal/97.png Real 18:22:30
./validation_images_normal/98.png Real 18:22:34
./validation_images_normal/99.png Fake 18:22:37
./validation_images_normal/100.png Fake 18:22:41
./validation_images_normal/101.png Fake 18:22:47
./validation_images_normal/102.png Real 18:22:49
./validation_images_normal/103.png Real 18:22:51
./validation_images_normal/104.png Real 18:22:53
./validation_images_normal/105.png Real 18:22:56
./validation_images_normal/106.png Fake 18:22:59
./validation_images_normal/107.png Fake 18:23:02
./validation_images_normal/108.png Fake 18:23:04
./validation_images_normal/109.png Real 18:23:07
./validation_images_normal/110.png Real 18:23:11
./validation_images_normal/111.png Real 18:23:13
./validation_images_normal/112.png Fake 18:23:17
./validation_images_normal/113.png Fake 18:23:20
./validation_images_normal/114.png Real 18:23:22
./validation_images_normal/115.png Real 18:23:24
./validation_images_normal/116.png Real 18:23:26
./validation_images_normal/117.png Fake 18:23:29
./validation_images_normal/118.png Fake 18:23:31
./validation_images_normal/119.png Real 18:23:35
./validation_images_normal/120.png Fake 18:23:38
./validation_images_normal/121.png Real 18:23:40
./validation_images_normal/122.png Fake 18:23:43
./validation_images_normal/123.png Real 18:23:45
./validation_images_normal/124.png Real 18:23:47
./validation_images_normal/125.png Real 18:23:49
./validation_images_normal/126.png Fake 18:23:51
./validation_images_normal/127.png Fake 18:23:54
./validation_images_normal/128.png Real 18:23:58
./validation_images_normal/129.png Fake 18:24:05
./validation_images_normal/130.png Fake 18:24:11
./validation_images_normal/131.png Real 18:24:15
./validation_images_normal/132.png Fake 18:24:21
./validation_images_normal/133.png Fake 18:24:24
./validation_images_normal/134.png Real 18:24:28
./validation_images_normal/135.png Real 18:24:30
./validation_images_normal/136.png Real 18:24:34
./validation_images_normal/137.png Fake 18:24:38
./validation_images_normal/138.png Fake 18:24:41
./validation_images_normal/139.png Real 18:24:44
./validation_images_normal/140.png Fake 18:24:47
./validation_images_normal/141.png Real 18:24:50
./validation_images_normal/142.png Fake 18:24:54
./validation_images_normal/143.png Real 18:24:57
./validation_images_normal/144.png Real 18:24:59
./validation_images_normal/145.png Real 18:25:03
./validation_images_normal/146.png Fake 18:25:06
./validation_images_normal/147.png Real 18:25:09
./validation_images_normal/148.png Real 18:25:12
./validation_images_normal/149.png Fake 18:25:15
./validation_images_normal/150.png Fake 18:25:22
