doc313 20190916 17:13:04
./validation_images_normal/0.png Real 17:13:10
./validation_images_normal/1.png Fake 17:13:41
./validation_images_normal/2.png Real 17:13:51
./validation_images_normal/3.png Fake 17:14:15
./validation_images_normal/4.png Real 17:14:19
./validation_images_normal/5.png Real 17:14:50
./validation_images_normal/6.png Fake 17:15:16
./validation_images_normal/7.png Fake 17:15:44
./validation_images_normal/8.png Real 17:16:06
./validation_images_normal/9.png Real 17:16:11
./validation_images_normal/10.png Real 17:16:17
./validation_images_normal/11.png Fake 17:16:34
./validation_images_normal/12.png Fake 17:16:45
./validation_images_normal/13.png Real 17:16:54
./validation_images_normal/14.png Fake 17:17:04
./validation_images_normal/15.png Real 17:17:20
./validation_images_normal/16.png Fake 17:17:35
./validation_images_normal/17.png Real 17:17:40
./validation_images_normal/18.png Fake 17:17:52
./validation_images_normal/19.png Real 17:18:16
./validation_images_normal/20.png Real 17:18:40
./validation_images_normal/21.png Fake 17:18:49
./validation_images_normal/22.png Real 17:19:02
./validation_images_normal/23.png Fake 17:19:12
./validation_images_normal/24.png Real 17:19:20
./validation_images_normal/25.png Fake 17:19:29
./validation_images_normal/26.png Fake 17:19:41
./validation_images_normal/27.png Fake 17:19:50
./validation_images_normal/28.png Real 17:19:56
./validation_images_normal/29.png Fake 17:20:23
./validation_images_normal/30.png Fake 17:20:29
./validation_images_normal/31.png Fake 17:20:34
./validation_images_normal/32.png Fake 17:20:39
./validation_images_normal/33.png Real 17:20:46
./validation_images_normal/34.png Real 17:20:51
./validation_images_normal/35.png Fake 17:20:58
./validation_images_normal/36.png Real 17:21:02
./validation_images_normal/37.png Fake 17:21:07
./validation_images_normal/38.png Fake 17:21:12
./validation_images_normal/39.png Real 17:21:16
./validation_images_normal/40.png Real 17:21:23
./validation_images_normal/41.png Real 17:21:28
./validation_images_normal/42.png Fake 17:21:34
./validation_images_normal/43.png Real 17:21:49
./validation_images_normal/44.png Fake 17:21:54
./validation_images_normal/45.png Fake 17:21:58
./validation_images_normal/46.png Fake 17:22:06
./validation_images_normal/47.png Real 17:22:10
./validation_images_normal/48.png Fake 17:22:14
./validation_images_normal/49.png Real 17:22:25
./validation_images_normal/50.png Fake 17:22:32
./validation_images_normal/51.png Real 17:22:42
./validation_images_normal/52.png Fake 17:22:48
./validation_images_normal/53.png Real 17:22:54
./validation_images_normal/54.png Real 17:22:59
./validation_images_normal/55.png Real 17:23:05
./validation_images_normal/56.png Fake 17:23:09
./validation_images_normal/57.png Fake 17:23:14
./validation_images_normal/58.png Real 17:23:21
./validation_images_normal/59.png Real 17:23:29
./validation_images_normal/60.png Fake 17:23:34
./validation_images_normal/61.png Real 17:23:47
./validation_images_normal/62.png Fake 17:23:52
./validation_images_normal/63.png Fake 17:24:00
./validation_images_normal/64.png Real 17:24:11
./validation_images_normal/65.png Fake 17:24:18
./validation_images_normal/66.png Fake 17:24:44
./validation_images_normal/67.png Fake 17:24:50
./validation_images_normal/68.png Real 17:24:56
./validation_images_normal/69.png Real 17:25:08
./validation_images_normal/70.png Fake 17:25:15
./validation_images_normal/71.png Real 17:25:23
./validation_images_normal/72.png Real 17:25:33
./validation_images_normal/73.png Fake 17:25:39
./validation_images_normal/74.png Real 17:25:44
./validation_images_normal/75.png Fake 17:25:49
./validation_images_normal/76.png Fake 17:26:03
./validation_images_normal/77.png Fake 17:26:18
./validation_images_normal/78.png Fake 17:26:22
./validation_images_normal/79.png Real 17:26:26
./validation_images_normal/80.png Real 17:26:36
./validation_images_normal/81.png Fake 17:26:43
./validation_images_normal/82.png Fake 17:26:47
./validation_images_normal/83.png Fake 17:27:00
./validation_images_normal/84.png Real 17:27:07
./validation_images_normal/85.png Fake 17:27:16
./validation_images_normal/86.png Fake 17:27:27
./validation_images_normal/87.png Real 17:27:42
./validation_images_normal/88.png Real 17:27:47
./validation_images_normal/89.png Real 17:27:56
./validation_images_normal/90.png Real 17:28:03
./validation_images_normal/91.png Fake 17:28:08
./validation_images_normal/92.png Fake 17:28:13
./validation_images_normal/93.png Real 17:28:19
Finish 17:28:27
