fatei01 20190920 21:04:10
./validation_images_normal/0.png Real 21:04:16
./validation_images_normal/1.png Fake 21:04:35
./validation_images_normal/2.png Real 21:04:47
./validation_images_normal/3.png Fake 21:04:51
./validation_images_normal/4.png Fake 21:04:54
./validation_images_normal/5.png Real 21:04:58
./validation_images_normal/6.png Fake 21:05:01
./validation_images_normal/7.png Fake 21:05:05
./validation_images_normal/8.png Real 21:05:58
./validation_images_normal/9.png Real 21:06:02
./validation_images_normal/10.png Real 21:06:07
./validation_images_normal/11.png Real 21:06:11
./validation_images_normal/12.png Fake 21:06:14
./validation_images_normal/13.png Real 21:06:17
./validation_images_normal/14.png Fake 21:06:21
./validation_images_normal/15.png Fake 21:06:24
./validation_images_normal/16.png Fake 21:06:29
./validation_images_normal/17.png Fake 21:06:32
./validation_images_normal/18.png Real 21:06:36
./validation_images_normal/19.png Real 21:06:39
./validation_images_normal/20.png Real 21:06:41
./validation_images_normal/21.png Fake 21:06:44
./validation_images_normal/22.png Real 21:06:47
./validation_images_normal/23.png Fake 21:06:50
./validation_images_normal/24.png Real 21:06:53
./validation_images_normal/25.png Fake 21:06:58
./validation_images_normal/26.png Fake 21:07:00
./validation_images_normal/27.png Fake 21:07:05
./validation_images_normal/28.png Real 21:07:08
./validation_images_normal/29.png Fake 21:07:10
./validation_images_normal/30.png Real 21:07:14
./validation_images_normal/31.png Real 21:07:18
./validation_images_normal/32.png Real 21:07:20
./validation_images_normal/33.png Fake 21:07:22
./validation_images_normal/34.png Fake 21:07:27
./validation_images_normal/35.png Real 21:07:29
./validation_images_normal/36.png Fake 21:07:32
./validation_images_normal/37.png Real 21:07:35
./validation_images_normal/38.png Fake 21:07:38
./validation_images_normal/39.png Real 21:07:41
./validation_images_normal/40.png Real 21:07:43
./validation_images_normal/41.png Real 21:07:46
./validation_images_normal/42.png Fake 21:07:50
./validation_images_normal/43.png Real 21:07:53
./validation_images_normal/44.png Fake 21:07:56
./validation_images_normal/45.png Fake 21:07:58
./validation_images_normal/46.png Fake 21:08:01
./validation_images_normal/47.png Fake 21:08:04
./validation_images_normal/48.png Real 21:08:07
./validation_images_normal/49.png Fake 21:08:10
./validation_images_normal/50.png Fake 21:08:13
./validation_images_normal/51.png Real 21:08:16
./validation_images_normal/52.png Fake 21:08:18
./validation_images_normal/53.png Real 21:08:21
./validation_images_normal/54.png Real 21:08:24
./validation_images_normal/55.png Real 21:08:26
./validation_images_normal/56.png Fake 21:08:28
./validation_images_normal/57.png Real 21:08:31
./validation_images_normal/58.png Real 21:08:33
./validation_images_normal/59.png Real 21:08:35
./validation_images_normal/60.png Fake 21:08:38
./validation_images_normal/61.png Real 21:08:42
./validation_images_normal/62.png Fake 21:08:46
./validation_images_normal/63.png Real 21:08:50
./validation_images_normal/64.png Real 21:08:53
./validation_images_normal/65.png Fake 21:08:55
./validation_images_normal/66.png Real 21:08:57
./validation_images_normal/67.png Fake 21:09:00
./validation_images_normal/68.png Real 21:09:03
./validation_images_normal/69.png Fake 21:09:05
./validation_images_normal/70.png Real 21:09:08
./validation_images_normal/71.png Real 21:09:10
./validation_images_normal/72.png Real 21:09:12
./validation_images_normal/73.png Real 21:09:15
./validation_images_normal/74.png Real 21:09:17
./validation_images_normal/75.png Real 21:09:19
./validation_images_normal/76.png Real 21:09:22
./validation_images_normal/77.png Real 21:09:26
./validation_images_normal/78.png Fake 21:09:30
./validation_images_normal/79.png Fake 21:09:34
./validation_images_normal/80.png Fake 21:09:38
./validation_images_normal/81.png Real 21:09:42
./validation_images_normal/82.png Fake 21:09:45
./validation_images_normal/83.png Real 21:09:49
./validation_images_normal/84.png Real 21:09:53
./validation_images_normal/85.png Real 21:09:55
./validation_images_normal/86.png Fake 21:09:58
./validation_images_normal/87.png Fake 21:10:00
./validation_images_normal/88.png Real 21:10:03
./validation_images_normal/89.png Real 21:10:05
./validation_images_normal/90.png Real 21:10:08
./validation_images_normal/91.png Fake 21:10:10
./validation_images_normal/92.png Fake 21:10:12
./validation_images_normal/93.png Real 21:10:14
./validation_images_normal/94.png Real 21:10:18
./validation_images_normal/95.png Real 21:10:20
./validation_images_normal/96.png Real 21:10:23
./validation_images_normal/97.png Real 21:10:25
