gogo93011 20190917 19:58:27
./validation_images_normal/0.png Real 19:58:32
./validation_images_normal/1.png Real 19:58:38
./validation_images_normal/2.png Real 19:58:42
./validation_images_normal/3.png Fake 19:58:45
./validation_images_normal/4.png Real 19:58:50
./validation_images_normal/5.png Real 19:58:54
./validation_images_normal/6.png Real 19:58:58
./validation_images_normal/7.png Real 19:59:00
./validation_images_normal/8.png Real 19:59:04
./validation_images_normal/9.png Fake 19:59:07
./validation_images_normal/10.png Fake 19:59:10
./validation_images_normal/11.png Fake 19:59:14
./validation_images_normal/12.png Fake 19:59:18
./validation_images_normal/13.png Fake 19:59:22
./validation_images_normal/14.png Real 19:59:26
./validation_images_normal/15.png Fake 19:59:29
./validation_images_normal/16.png Fake 19:59:33
./validation_images_normal/17.png Fake 19:59:39
./validation_images_normal/18.png Fake 19:59:42
./validation_images_normal/19.png Real 19:59:45
./validation_images_normal/20.png Fake 19:59:49
./validation_images_normal/21.png Fake 19:59:51
