herossell311 20190917 09:25:46
./validation_images_normal/0.png Real 09:25:52
./validation_images_normal/1.png Fake 09:25:56
./validation_images_normal/2.png Real 09:26:02
./validation_images_normal/3.png Fake 09:26:06
./validation_images_normal/4.png Fake 09:26:08
./validation_images_normal/5.png Real 09:26:14
./validation_images_normal/6.png Real 09:26:17
./validation_images_normal/7.png Fake 09:26:21
./validation_images_normal/8.png Real 09:26:25
./validation_images_normal/9.png Real 09:26:29
./validation_images_normal/10.png Real 09:26:34
./validation_images_normal/11.png Fake 09:26:39
./validation_images_normal/12.png Fake 09:26:42
./validation_images_normal/13.png Real 09:26:45
./validation_images_normal/14.png Real 09:26:48
./validation_images_normal/15.png Real 09:26:52
./validation_images_normal/16.png Fake 09:27:00
./validation_images_normal/17.png Fake 09:27:03
./validation_images_normal/18.png Fake 09:27:06
./validation_images_normal/19.png Real 09:27:09
./validation_images_normal/20.png Real 09:27:15
./validation_images_normal/21.png Fake 09:27:19
./validation_images_normal/22.png Real 10:14:19
./validation_images_normal/23.png Fake 10:15:01
./validation_images_normal/24.png Real 10:15:07
./validation_images_normal/25.png Fake 10:15:13
./validation_images_normal/26.png Fake 10:15:17
./validation_images_normal/27.png Fake 10:15:21
./validation_images_normal/28.png Real 10:15:24
./validation_images_normal/29.png Fake 10:15:27
./validation_images_normal/30.png Fake 10:15:30
./validation_images_normal/31.png Fake 10:15:34
./validation_images_normal/32.png Fake 10:15:37
./validation_images_normal/33.png Real 10:15:40
./validation_images_normal/34.png Real 10:16:00
./validation_images_normal/35.png Fake 10:16:05
./validation_images_normal/36.png Real 10:16:09
./validation_images_normal/37.png Real 10:16:23
./validation_images_normal/38.png Fake 10:17:58
./validation_images_normal/39.png Fake 10:24:06
./validation_images_normal/40.png Real 10:24:19
./validation_images_normal/41.png Real 10:24:23
./validation_images_normal/42.png Fake 10:24:59
./validation_images_normal/43.png Real 10:26:05
./validation_images_normal/44.png Fake 10:29:46
./validation_images_normal/45.png Fake 10:29:53
./validation_images_normal/46.png Real 10:29:57
./validation_images_normal/47.png Real 10:30:05
./validation_images_normal/48.png Fake 10:30:08
./validation_images_normal/49.png Real 10:30:11
./validation_images_normal/50.png Fake 10:30:15
./validation_images_normal/51.png Real 10:30:19
./validation_images_normal/52.png Fake 10:30:23
./validation_images_normal/53.png Real 10:30:26
./validation_images_normal/54.png Real 10:30:30
./validation_images_normal/55.png Real 10:30:33
./validation_images_normal/56.png Fake 10:30:35
./validation_images_normal/57.png Fake 10:30:38
./validation_images_normal/58.png Fake 10:30:41
./validation_images_normal/59.png Real 10:30:44
./validation_images_normal/60.png Fake 10:30:48
