pooh01 20190917 17:23:27
./validation_images_normal/0.png Real 17:23:33
./validation_images_normal/1.png Fake 17:23:39
./validation_images_normal/2.png Real 17:23:45
./validation_images_normal/3.png Fake 17:23:55
./validation_images_normal/4.png Fake 17:24:00
./validation_images_normal/5.png Real 17:24:06
./validation_images_normal/6.png Fake 17:24:11
./validation_images_normal/7.png Fake 17:24:15
./validation_images_normal/8.png Real 17:24:20
./validation_images_normal/9.png Real 17:24:26
./validation_images_normal/10.png Real 17:24:32
./validation_images_normal/11.png Fake 17:24:40
./validation_images_normal/12.png Fake 17:24:44
./validation_images_normal/13.png Real 17:24:47
./validation_images_normal/14.png Real 17:24:51
./validation_images_normal/15.png Real 17:24:55
./validation_images_normal/16.png Fake 17:25:00
./validation_images_normal/17.png Fake 17:25:04
./validation_images_normal/18.png Fake 17:25:09
./validation_images_normal/19.png Real 17:25:12
./validation_images_normal/20.png Real 17:25:15
./validation_images_normal/21.png Fake 17:25:18
./validation_images_normal/22.png Real 17:25:23
./validation_images_normal/23.png Real 17:25:26
./validation_images_normal/24.png Real 17:25:28
./validation_images_normal/25.png Fake 17:25:34
./validation_images_normal/26.png Real 17:25:37
./validation_images_normal/27.png Fake 17:25:41
./validation_images_normal/28.png Real 17:25:44
./validation_images_normal/29.png Fake 17:25:48
./validation_images_normal/30.png Fake 17:25:51
./validation_images_normal/31.png Fake 17:25:55
./validation_images_normal/32.png Fake 17:26:03
./validation_images_normal/33.png Real 17:26:07
./validation_images_normal/34.png Real 17:26:11
./validation_images_normal/35.png Real 17:26:14
./validation_images_normal/36.png Real 17:26:17
./validation_images_normal/37.png Real 17:26:22
./validation_images_normal/38.png Fake 17:26:27
./validation_images_normal/39.png Real 17:26:30
./validation_images_normal/40.png Real 17:26:35
./validation_images_normal/41.png Real 17:26:38
./validation_images_normal/42.png Fake 17:26:41
./validation_images_normal/43.png Real 17:26:45
./validation_images_normal/44.png Real 17:26:48
./validation_images_normal/45.png Fake 17:26:51
./validation_images_normal/46.png Fake 17:26:54
./validation_images_normal/47.png Fake 17:26:57
./validation_images_normal/48.png Real 17:27:00
./validation_images_normal/49.png Real 17:27:02
./validation_images_normal/50.png Real 17:27:05
./validation_images_normal/51.png Real 17:27:07
