qwer00 20190911 05:03:01
./validation_images_normal/0.png Real 05:03:07
./validation_images_normal/1.png Fake 05:03:18
./validation_images_normal/2.png Real 05:03:31
./validation_images_normal/3.png Fake 05:03:38
./validation_images_normal/4.png Real 05:03:43
./validation_images_normal/5.png Real 05:03:48
./validation_images_normal/6.png Real 05:03:56
./validation_images_normal/7.png Real 05:04:05
./validation_images_normal/8.png Real 05:04:15
./validation_images_normal/9.png Real 05:04:23
./validation_images_normal/10.png Real 05:04:29
./validation_images_normal/11.png Real 05:04:37
./validation_images_normal/12.png Fake 05:04:45
./validation_images_normal/13.png Real 05:04:49
./validation_images_normal/14.png Real 05:04:53
./validation_images_normal/15.png Real 05:05:07
./validation_images_normal/16.png Fake 05:05:16
./validation_images_normal/17.png Real 05:05:21
./validation_images_normal/18.png Fake 05:05:27
./validation_images_normal/19.png Real 05:05:36
./validation_images_normal/20.png Real 05:05:50
./validation_images_normal/21.png Fake 05:05:58
./validation_images_normal/22.png Real 05:06:05
./validation_images_normal/23.png Real 05:06:09
./validation_images_normal/24.png Real 05:06:18
./validation_images_normal/25.png Fake 05:06:25
./validation_images_normal/26.png Fake 05:06:30
./validation_images_normal/27.png Fake 05:06:39
./validation_images_normal/28.png Real 05:06:46
./validation_images_normal/29.png Fake 05:06:52
./validation_images_normal/30.png Fake 05:06:57
./validation_images_normal/31.png Real 05:07:03
./validation_images_normal/32.png Real 05:07:15
./validation_images_normal/33.png Real 05:07:23
./validation_images_normal/34.png Real 05:07:30
./validation_images_normal/35.png Real 05:07:36
./validation_images_normal/35.png Real 05:07:36
./validation_images_normal/37.png Fake 05:07:47
./validation_images_normal/38.png Fake 05:07:53
./validation_images_normal/39.png Fake 05:07:57
