ricky11 20190916 20:36:24
./validation_images_normal/0.png Real 20:36:30
./validation_images_normal/1.png Fake 20:36:52
./validation_images_normal/2.png Real 20:37:07
./validation_images_normal/3.png Fake 20:37:14
./validation_images_normal/4.png Real 20:37:25
./validation_images_normal/5.png Real 20:37:43
./validation_images_normal/6.png Fake 20:37:48
./validation_images_normal/7.png Fake 20:37:55
./validation_images_normal/8.png Real 20:38:01
./validation_images_normal/9.png Fake 20:38:04
./validation_images_normal/10.png Real 20:38:13
./validation_images_normal/11.png Fake 20:38:32
./validation_images_normal/12.png Fake 20:38:36
./validation_images_normal/13.png Fake 20:38:40
./validation_images_normal/14.png Fake 20:38:49
./validation_images_normal/15.png Real 20:38:58
./validation_images_normal/16.png Fake 20:39:03
./validation_images_normal/17.png Fake 20:39:06
./validation_images_normal/18.png Fake 20:39:15
./validation_images_normal/19.png Real 20:39:18
./validation_images_normal/20.png Fake 20:39:40
./validation_images_normal/21.png Fake 20:39:45
./validation_images_normal/22.png Fake 20:39:48
./validation_images_normal/23.png Fake 20:39:58
./validation_images_normal/24.png Fake 20:40:01
./validation_images_normal/25.png Fake 20:40:15
./validation_images_normal/26.png Fake 20:40:18
./validation_images_normal/27.png Fake 20:40:21
./validation_images_normal/28.png Fake 20:40:25
./validation_images_normal/29.png Fake 20:40:27
./validation_images_normal/30.png Fake 20:40:29
./validation_images_normal/31.png Fake 20:40:32
./validation_images_normal/32.png Fake 20:40:34
./validation_images_normal/33.png Real 20:40:36
./validation_images_normal/34.png Real 20:40:45
./validation_images_normal/35.png Fake 20:40:51
./validation_images_normal/36.png Real 20:40:54
./validation_images_normal/37.png Fake 20:41:06
./validation_images_normal/38.png Fake 20:41:09
./validation_images_normal/39.png Fake 20:41:12
./validation_images_normal/40.png Real 20:41:17
./validation_images_normal/41.png Fake 20:41:21
./validation_images_normal/42.png Fake 20:41:31
./validation_images_normal/43.png Real 20:41:36
./validation_images_normal/44.png Fake 20:41:40
./validation_images_normal/45.png Fake 20:41:45
./validation_images_normal/46.png Fake 20:41:47
./validation_images_normal/47.png Real 20:41:49
./validation_images_normal/48.png Fake 20:41:55
./validation_images_normal/49.png Real 20:41:59
./validation_images_normal/50.png Fake 20:42:03
./validation_images_normal/51.png Fake 20:42:06
./validation_images_normal/52.png Fake 20:42:08
./validation_images_normal/53.png Real 20:42:10
./validation_images_normal/54.png Real 20:42:14
./validation_images_normal/55.png Real 20:42:19
./validation_images_normal/56.png Fake 20:42:21
./validation_images_normal/57.png Fake 20:42:23
./validation_images_normal/58.png Real 20:42:33
./validation_images_normal/59.png Real 20:42:39
./validation_images_normal/60.png Fake 20:42:48
./validation_images_normal/61.png Real 20:42:52
./validation_images_normal/62.png Real 20:42:58
./validation_images_normal/63.png Fake 20:43:05
./validation_images_normal/64.png Real 20:43:13
./validation_images_normal/65.png Real 20:43:16
./validation_images_normal/66.png Fake 20:43:23
./validation_images_normal/67.png Fake 20:43:25
./validation_images_normal/68.png Fake 20:43:35
./validation_images_normal/69.png Fake 20:43:40
./validation_images_normal/70.png Fake 20:43:44
./validation_images_normal/71.png Real 20:43:53
./validation_images_normal/72.png Real 20:44:00
./validation_images_normal/73.png Fake 20:44:05
./validation_images_normal/74.png Real 20:44:11
./validation_images_normal/75.png Fake 20:44:20
./validation_images_normal/76.png Fake 20:44:26
./validation_images_normal/77.png Fake 20:44:32
./validation_images_normal/78.png Fake 20:44:39
./validation_images_normal/79.png Fake 20:44:46
./validation_images_normal/80.png Real 20:44:52
./validation_images_normal/81.png Fake 20:45:25
./validation_images_normal/82.png Fake 20:45:29
./validation_images_normal/83.png Fake 20:45:36
./validation_images_normal/84.png Real 20:45:41
./validation_images_normal/85.png Fake 20:45:48
./validation_images_normal/86.png Fake 20:45:51
./validation_images_normal/87.png Fake 20:45:56
./validation_images_normal/88.png Real 20:46:00
./validation_images_normal/89.png Real 20:46:17
./validation_images_normal/90.png Real 20:46:23
./validation_images_normal/91.png Fake 20:46:27
./validation_images_normal/92.png Fake 20:46:31
./validation_images_normal/93.png Real 20:46:36
./validation_images_normal/94.png Real 20:46:42
./validation_images_normal/95.png Fake 20:46:47
./validation_images_normal/96.png Real 21:10:46
./validation_images_normal/97.png Real 21:10:54
./validation_images_normal/98.png Real 21:11:00
./validation_images_normal/99.png Fake 21:11:05
./validation_images_normal/100.png Fake 21:11:11
./validation_images_normal/101.png Fake 21:11:15
./validation_images_normal/102.png Real 21:38:45
./validation_images_normal/103.png Real 21:38:49
./validation_images_normal/104.png Real 21:38:53
./validation_images_normal/105.png Real 21:38:56
./validation_images_normal/106.png Fake 21:38:59
./validation_images_normal/107.png Fake 21:39:02
./validation_images_normal/108.png Fake 21:39:08
./validation_images_normal/109.png Real 21:39:11
./validation_images_normal/110.png Real 21:39:15
./validation_images_normal/111.png Fake 21:39:18
./validation_images_normal/112.png Fake 21:39:22
./validation_images_normal/113.png Fake 21:39:24
./validation_images_normal/114.png Real 21:39:27
./validation_images_normal/115.png Real 21:39:30
./validation_images_normal/116.png Real 21:39:32
./validation_images_normal/117.png Fake 21:39:37
./validation_images_normal/118.png Real 21:39:44
./validation_images_normal/119.png Real 21:39:52
./validation_images_normal/120.png Fake 21:39:56
./validation_images_normal/121.png Real 21:40:00
./validation_images_normal/122.png Fake 21:40:03
./validation_images_normal/123.png Real 21:40:06
./validation_images_normal/124.png Fake 21:40:10
./validation_images_normal/125.png Real 21:40:16
./validation_images_normal/126.png Fake 21:40:20
./validation_images_normal/127.png Fake 21:40:23
./validation_images_normal/128.png Fake 21:40:25
./validation_images_normal/129.png Fake 21:40:34
./validation_images_normal/130.png Fake 21:40:37
./validation_images_normal/131.png Real 21:40:41
./validation_images_normal/132.png Fake 21:40:45
./validation_images_normal/133.png Fake 21:40:47
./validation_images_normal/134.png Fake 21:40:51
./validation_images_normal/135.png Fake 21:40:57
./validation_images_normal/136.png Real 21:41:05
